frame,class,score,boxes
0,"[0, 0, 0, 0, 0, 0, 0]","[0.2706630825996399, 0.4503447413444519, 0.5301494002342224, 0.7587384581565857, 0.8396385312080383, 0.91260826587677, 0.9272571802139282]","[[0.13283157348632812, 540.5599594116211, 134.02348709106445, 622.6227493286133], [194.73779296875, 196.39960098266602, 279.06829833984375, 419.1076469421387], [732.8881988525391, 31.96003532409668, 843.2200927734375, 130.30765342712402], [0.026933670043945312, 208.25178909301758, 98.15389251708984, 712.0825653076172], [541.6440124511719, 98.94208145141602, 650.7838439941406, 529.1214408874512], [361.9185791015625, -0.5615558624267578, 516.3028564453125, 398.5946273803711], [58.054080963134766, 273.273136138916, 218.2357177734375, 719.4355773925781]]"
1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.25499510765075684, 0.3015022873878479, 0.3618650734424591, 0.38864392042160034, 0.4958213269710541, 0.8702730536460876, 0.9251618385314941, 0.9357578158378601]","[[-0.23961353302001953, 285.34302520751953, 91.71997833251953, 411.37488555908203], [564.0410614013672, 1.1811418533325195, 641.2308197021484, 194.24466705322266], [686.5311584472656, 40.141347885131836, 832.3598327636719, 467.43482208251953], [0.27573251724243164, 220.83226776123047, 29.915468215942383, 319.91439056396484], [695.8585510253906, 43.82055330276489, 814.0350036621094, 130.9497013092041], [57.11622619628906, 287.4264965057373, 195.0168914794922, 717.4301605224609], [455.7296447753906, 108.81271362304688, 652.2665405273438, 540.815185546875], [375.1555709838867, 0.1369342803955078, 516.1638793945312, 408.4511489868164]]"
2,"[0, 0, 0, 0]","[0.5426795482635498, 0.8352118730545044, 0.9108607172966003, 0.9114895462989807]","[[393.966064453125, 0.22079086303710938, 544.455322265625, 281.6755142211914], [7.107124328613281, 285.3124523162842, 135.50088500976562, 718.1165313720703], [72.83038330078125, 288.34400939941406, 281.4240417480469, 719.2409133911133], [433.2127990722656, 106.27415084838867, 632.9002075195312, 556.4131278991699]]"
3,"[0, 0, 0, 0, 0, 0]","[0.40834081172943115, 0.4200145900249481, 0.8141248226165771, 0.8603224754333496, 0.9059574007987976, 0.9412862658500671]","[[179.01221466064453, 21.840262413024902, 276.1453628540039, 124.40709400177002], [411.56190490722656, -0.20189952850341797, 564.3417205810547, 200.65985870361328], [534.0591430664062, 0.5051651000976562, 641.5160522460938, 293.08059310913086], [374.4052276611328, 107.22575569152832, 571.4910736083984, 559.6883239746094], [219.12625122070312, 266.8473358154297, 422.7143096923828, 719.3920440673828], [0.03878974914550781, 291.94972229003906, 150.0567855834961, 718.9593200683594]]"
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2844221591949463, 0.31699055433273315, 0.3479573428630829, 0.5313688516616821, 0.5571379065513611, 0.6674002408981323, 0.6749655604362488, 0.7653284072875977, 0.9329790472984314]","[[124.62108993530273, 0.6671876907348633, 174.20300674438477, 123.71144485473633], [141.03722763061523, 10.491754531860352, 289.88868713378906, 421.14392852783203], [161.9128074645996, -0.45012617111206055, 214.67113494873047, 121.9962387084961], [321.7387161254883, 128.2238473892212, 520.6272583007812, 392.3890686035156], [179.1016845703125, 21.621179580688477, 277.1225280761719, 124.84909629821777], [552.2237091064453, -2.2882461547851562, 638.3355560302734, 300.3379554748535], [410.8187713623047, 0.8759965896606445, 582.1782989501953, 266.9355354309082], [362.50804138183594, 271.13945388793945, 624.7034454345703, 719.8871154785156], [0.13648223876953125, 303.1756896972656, 119.42710876464844, 719.7572708129883]]"
5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2853327989578247, 0.32505518198013306, 0.3491533100605011, 0.5309957265853882, 0.5568000078201294, 0.6653642058372498, 0.6754510402679443, 0.7709548473358154, 0.933012068271637]","[[124.62043762207031, 0.668766975402832, 174.20171356201172, 123.71021747589111], [141.21651077270508, 10.721334457397461, 289.82469177246094, 421.11193084716797], [161.9153594970703, -0.4501476287841797, 214.6615219116211, 121.9969253540039], [321.7321014404297, 128.23533153533936, 520.6361846923828, 392.3803825378418], [179.10477447509766, 21.62162160873413, 277.0967330932617, 124.84959411621094], [552.2406463623047, -2.315591812133789, 638.2740325927734, 300.3072280883789], [410.90171813964844, 0.8750267028808594, 582.1773834228516, 266.9296989440918], [362.48975372314453, 271.12295722961426, 624.5856628417969, 719.8798370361328], [0.13568115234375, 303.18111419677734, 119.41522979736328, 719.7591934204102]]"
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.28592121601104736, 0.31365683674812317, 0.31526270508766174, 0.4903069734573364, 0.5616616606712341, 0.6347509026527405, 0.8400755524635315, 0.898443341255188, 0.9061609506607056]","[[157.9397850036621, -0.14540576934814453, 210.3343505859375, 121.39111518859863], [167.99496459960938, 13.602035522460938, 286.2221374511719, 421.40536880493164], [539.9704742431641, 0.4746694564819336, 618.1572418212891, 185.4393310546875], [181.2469711303711, 24.608448028564453, 261.7936477661133, 125.6136245727539], [546.9266510009766, 99.68010520935059, 650.8340606689453, 513.9032135009766], [416.4762725830078, 0.3660764694213867, 562.9752960205078, 252.81927108764648], [304.24280548095703, 122.75625228881836, 470.2306823730469, 592.6521148681641], [478.5537872314453, 246.12907791137695, 655.6271209716797, 719.2427673339844], [0.4139270782470703, 231.10357475280762, 124.5776596069336, 718.1047210693359]]"
7,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.3711751699447632, 0.487689346075058, 0.5398502945899963, 0.8410927057266235, 0.8662675023078918, 0.8913589715957642, 0.9206274151802063, 0.938654363155365]","[[181.2393035888672, 24.15901279449463, 257.5300598144531, 124.5847635269165], [552.2720947265625, 0.9040460586547852, 614.1428833007812, 173.2338638305664], [0.30187225341796875, 413.13887786865234, 43.52772331237793, 718.0775299072266], [520.4716644287109, 73.28045654296875, 646.0750579833984, 528.9630661010742], [413.7761993408203, 1.4084815979003906, 560.1658172607422, 437.63725662231445], [260.66038513183594, 124.70136451721191, 443.91778564453125, 600.1321563720703], [53.99169731140137, 213.99516677856445, 242.17662048339844, 719.7216339111328], [583.4331665039062, 244.68145751953125, 796.8101806640625, 719.2389221191406]]"
8,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.3529016375541687, 0.38324764370918274, 0.5785036683082581, 0.7745363116264343, 0.8686168193817139, 0.9045891165733337, 0.9084210395812988, 0.9166063666343689]","[[181.85434341430664, 23.821904182434082, 273.62574005126953, 125.19107151031494], [0.3020625114440918, 447.52938079833984, 26.01284408569336, 574.6851425170898], [202.89788818359375, 648.1196823120117, 353.90972900390625, 719.9737014770508], [277.61073303222656, 101.64574813842773, 433.1283874511719, 575.843204498291], [415.3330078125, 13.872642517089844, 557.3410034179688, 450.1746826171875], [480.9780578613281, 81.23369979858398, 643.6011657714844, 544.7278633117676], [156.55968475341797, 199.94097518920898, 382.7925796508789, 720.1586151123047], [735.8780364990234, 234.05137825012207, 889.3751220703125, 718.6865158081055]]"
9,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.30336466431617737, 0.47395455837249756, 0.7395462393760681, 0.7523033618927002, 0.8576540946960449, 0.911084771156311, 0.9265357851982117, 0.9331239461898804]","[[182.0771598815918, 24.689875602722168, 250.31455993652344, 125.02267169952393], [418.9292449951172, 45.802242279052734, 530.7503814697266, 442.6376495361328], [294.5632095336914, 635.3542556762695, 448.2333984375, 719.8067092895508], [231.39715576171875, 107.36278438568115, 349.6405792236328, 301.2297706604004], [460.059814453125, 67.02163124084473, 631.5529174804688, 545.5252990722656], [150.448974609375, 138.07812881469727, 307.3469696044922, 616.6382904052734], [843.5388793945312, 216.24811935424805, 959.641845703125, 718.9185333251953], [260.1488342285156, 196.89887809753418, 487.8840637207031, 719.9561920166016]]"
10,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.3138745129108429, 0.4052090048789978, 0.6186786890029907, 0.7590521574020386, 0.8861245512962341, 0.9012195467948914, 0.9131438732147217, 0.9155837297439575]","[[173.34878540039062, 23.53062915802002, 249.13888549804688, 125.01566791534424], [350.79590606689453, 0.19623470306396484, 445.3374481201172, 166.30677795410156], [428.0021667480469, 11.945151329040527, 561.8673706054688, 189.898681640625], [410.6166229248047, 600.5998306274414, 546.3395233154297, 719.7637252807617], [182.1515121459961, 114.24696350097656, 329.25574493408203, 592.4766082763672], [486.31187438964844, 94.85787963867188, 630.2777252197266, 578.9851226806641], [368.650634765625, 174.89667892456055, 562.1810302734375, 644.5592193603516], [51.55580520629883, 146.15680503845215, 275.0625915527344, 644.4552612304688]]"
11,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.31556764245033264, 0.3928048610687256, 0.6186375021934509, 0.7616347074508667, 0.8861601948738098, 0.9014627933502197, 0.9134655594825745, 0.915432333946228]","[[173.26407623291016, 23.535658836364746, 249.15991973876953, 125.02117824554443], [351.30377197265625, 0.2137441635131836, 450.0486145019531, 166.1374855041504], [427.9983673095703, 11.946207046508789, 561.8760223388672, 189.9075222015381], [410.627197265625, 600.6036071777344, 546.3456115722656, 719.7624206542969], [182.15983200073242, 114.24871444702148, 329.2529296875, 592.4782562255859], [486.3256072998047, 94.8669261932373, 630.2705841064453, 579.0002288818359], [368.6655578613281, 174.8898468017578, 562.1254577636719, 644.5509796142578], [51.54182052612305, 146.18490600585938, 275.0658416748047, 644.4526519775391]]"
12,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.2699202597141266, 0.35696864128112793, 0.3796951472759247, 0.4134969711303711, 0.5006102919578552, 0.6855886578559875, 0.878068208694458, 0.9268783330917358]","[[434.77757263183594, 21.497403144836426, 560.9046478271484, 259.2774467468262], [153.9480857849121, 128.03485679626465, 283.63970947265625, 607.958610534668], [124.6860580444336, 0.4374704360961914, 184.66017150878906, 127.59209060668945], [314.88182830810547, 52.817596435546875, 378.5764846801758, 174.50244140625], [175.63542938232422, 24.259610652923584, 268.7343978881836, 125.60334205627441], [454.4879150390625, 98.97992420196533, 642.1344909667969, 337.56354904174805], [428.04638671875, 173.86895942687988, 701.9140319824219, 719.1299514770508], [4.6778411865234375, 156.76532363891602, 240.68362426757812, 658.1850128173828]]"
13,"[0, 0, 0, 0, 0, 0, 0]","[0.2525928318500519, 0.4018080234527588, 0.7517669796943665, 0.8206338882446289, 0.8648958802223206, 0.8708757758140564, 0.9100152850151062]","[[108.17603302001953, 130.07561874389648, 271.7567138671875, 643.3651428222656], [178.15957260131836, 23.86005163192749, 271.4728317260742, 125.52564811706543], [422.94163513183594, 23.644071578979492, 530.1276397705078, 509.1694107055664], [460.3674774169922, 541.8985748291016, 672.5500030517578, 720.0531463623047], [461.526123046875, 91.1447582244873, 631.5823974609375, 595.3533782958984], [571.380615234375, 162.86713027954102, 756.8123474121094, 719.3103332519531], [-0.4548683166503906, 152.32995414733887, 169.32101440429688, 658.2726287841797]]"
14,"[0, 0, 0, 0, 0, 0, 0, 0]","[0.27386826276779175, 0.2874086797237396, 0.3920813500881195, 0.4610152244567871, 0.8165550231933594, 0.8875541687011719, 0.9099412560462952, 0.9307589530944824]","[[125.12496185302734, 1.4761419296264648, 175.7167739868164, 123.61381244659424], [177.69003295898438, 24.944518089294434, 252.16470336914062, 123.79240894317627], [161.98146057128906, 15.781791687011719, 285.40150451660156, 420.84760665893555], [555.2063140869141, -0.3373575210571289, 638.8019256591797, 287.55745697021484], [498.4658203125, 509.2466583251953, 760.1530151367188, 719.5157775878906], [-0.36612510681152344, 158.51354026794434, 119.34940338134766, 660.3307113647461], [441.3382873535156, 123.8759822845459, 631.1554870605469, 624.7762756347656], [655.2970733642578, 141.62494468688965, 867.0441284179688, 712.7569885253906]]"
